Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Two Weeks Notice,2002-12-19,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.",6.4,1986,en,Comedy;Romance,101,Over. Done. Finished. A comedy about love at last glance.,60000000,199043242,Fortis Films,United States of America,English,tt0313737
The Hours,2002-12-27,"""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.",7.298,1652,en,Drama,114,The time to hide is over. The time to regret is gone. The time to live is now.,25000000,41597830,Paramount Pictures;Miramax;Scott Rudin Productions;Robert Fox Productions,United Kingdom;United States of America,English,tt0274558
Final Destination 2,2003-01-31,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",6.241,3928,en,Horror;Mystery,90,For every beginning there is an end.,26000000,90900000,New Line Cinema;Zide-Perry Productions,United States of America;Canada,English,tt0309593
Shanghai Knights,2003-02-06,"The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.",6.133,2195,en,Action;Adventure;Comedy;Western,115,A Royal Kick In The Arse,50000000,88300000,All Knight Productions;Spyglass Entertainment;Touchstone Pictures;Birnbaum/Barber Productions;JCE Movies,Hong Kong;United States of America,English;普通话,tt0300471
Spun,2003-02-07,"Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The Cook - but all he really wants to do is hook up with his old girlfriend, Amy.",6.525,443,en,Comedy;Crime;Drama,101,The ultimate speed freak's tale.,2000000,0,Muse Productions;Brink Films;Little Magic Films;Saggitaire;Stone Canyon Entertainment;Silver Nitrate,United States of America,English,tt0283003
How to Lose a Guy in 10 Days,2003-02-07,"It’s the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking - and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!",6.791,3751,en,Comedy;Romance,116,One of them is lying. So is the other.,50000000,177500000,Paramount Pictures;Robert Evans Company;Lynda Obst Productions;Christine Peters Productions,United States of America,English,tt0251127
Evolution X - The Making of X-Men,2003-02-11,"A four part documentary on the making of the first X-Men film, from pre-production, to principal photography, to post-production, and reflections on the film before production commenced on the sequel.",7,1,en,Documentary,138,,0,0,Ludovico Technique;20th Century Fox Home Entertainment,United States of America,English,
Daredevil,2003-02-14,A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.,5.259,4949,en,Fantasy;Action,103,"When the streets have gone to Hell, have faith in the devil.",78000000,179179718,Marvel Enterprises;New Regency Pictures;Epsilon Motion Pictures;Regency Enterprises;20th Century Fox,Switzerland;United States of America,English;Italiano;ελληνικά,tt0287978
Old School,2003-02-21,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,6.606,1777,en,Comedy,88,All the fun of college. None of the education.,24000000,87100000,The Montecito Picture Company;DreamWorks Pictures,United States of America,English,tt0302886
Tears of the Sun,2003-03-07,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",6.86,2243,en,War;Action;Drama,121,He was trained to follow orders. He became a hero by defying them.,75000000,86500000,Columbia Pictures;Revolution Studios;Cheyenne Enterprises;Michael Lobell Productions,United States of America,English;Español,tt0314353
Johnny English,2003-03-14,"A lowly pencil pusher working for MI7, Johnny English is suddenly promoted to super spy after Agent One is assassinated and every other agent is blown up at his funeral. When a billionaire entrepreneur sponsors the exhibition of the Crown Jewels—and the valuable gems disappear on the opening night and on English's watch—the newly-designated agent must jump into action to find the thief and recover the missing gems.",6.28,3370,en,Adventure;Action;Comedy,87,He knows no fear. He knows no danger. He knows nothing.,40000000,160466000,Working Title Films,United Kingdom,日本語;English;Français,tt0274166
The Core,2003-03-28,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",5.8,1829,en,Action;Thriller;Adventure;Science Fiction,136,The only way out is in.,60000000,74208267,Paramount Pictures;David Foster Productions;HorsePower Entertainment;Core Productions;LivePlanet;Munich Film Partners New Century & Company (MFP) Core Productions,United States of America;Canada;Germany,English,tt0298814
Phone Booth,2003-04-04,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.",6.859,3634,en,Thriller;Crime,81,No options. No lies. No fear. No deals. Just keep talking.,13000000,97837138,Fox 2000 Pictures;Zucker/Netter Productions,United States of America,English;Kiswahili,tt0183649
May,2003-04-11,A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.,6.508,594,en,Drama;Horror;Romance;Comedy,93,If you can't find a friend... make one.,500000,264349,A Loopy Production LLC;2 Loop Films,United States of America,English,tt0303361
House of 1000 Corpses,2003-04-11,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,6.207,1561,en,Horror,89,The most shocking tale of carnage ever seen.,7000000,17949758,Spectacle Entertainment Group,United States of America,English,tt0251736
Anger Management,2003-04-11,"After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.",6.149,3057,en,Comedy,106,Feel the love.,75000000,195745823,Columbia Pictures;Revolution Studios;Happy Madison Productions,United States of America,English,tt0305224
Holes,2003-04-18,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,6.848,1339,en,Adventure;Family;Drama;Comedy,117,Some secrets are too big to keep hidden.,20000000,71406573,Phoenix Pictures;Chicago Pacific Entertainment;Walden Media;Walt Disney Pictures;Summit Entertainment,United States of America,English,tt0311289
Identity,2003-04-25,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",7.184,3768,en,Mystery;Thriller,90,The secret lies within.,28000000,90259536,Konrad Pictures;Columbia Pictures,United States of America,English,tt0309698
X2,2003-04-27,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses—Magneto and Mystique—to unhinge Stryker's scheme to exterminate all mutants.",7.031,9910,en,Adventure;Action;Science Fiction,133,The time has come for those who are different to stand united.,110000000,407711549,The Donners' Company;Bad Hat Harry Productions;20th Century Fox;Marvel Enterprises,United States of America,English;Deutsch;Italiano,tt0290334
Memories of Murder,2003-05-02,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",8.1,3670,ko,Crime;Drama;Thriller,131,The worst of them will stay with you... forever.,2800000,26000000,CJ Entertainment;Muhan Investment;Sidus,South Korea,한국어/조선말;English,tt0353969
The Lizzie McGuire Movie,2003-05-02,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",6.309,1239,en,Family;Comedy,94,The only risk in taking an adventure is not taking it at all.,17000000,55534455,Teen Life Productions;Walt Disney Pictures,United States of America,English,tt0306841
Daddy Day Care,2003-05-09,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.",5.894,2047,en,Comedy;Family,92,Who's your daddy?,60000000,164433867,Revolution Studios;Davis Entertainment,United States of America,English,tt0317303
The Matrix Reloaded,2003-05-15,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",7.1,10734,en,Adventure;Action;Thriller;Science Fiction,138,Free your mind.,150000000,738599701,Village Roadshow Pictures;Silver Pictures;NPV Entertainment,United States of America,English;Français,tt0234215
Swimming Pool,2003-05-21,"A British crime novelist travels to her publisher's upmarket summer house in Southern France to seek solitude in order to work on her next book. However, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime.",6.493,677,en,Crime;Thriller,102,"On the surface, all is calm.",7800000,22441323,France 2 Cinéma;Canal+;Fidélité Productions;Gimages;FOZ;Headforce Ltd.;Focus Features;Celluloid Dreams,France;United Kingdom,English;Français,tt0324133
Dogville,2003-05-21,"When a beautiful young Grace arrives in the isolated township of Dogville, the small community agrees to hide her from a gang of ruthless gangsters, and, in return, Grave agrees to do odd jobs for the townspeople.",7.776,2354,en,Crime;Drama;Thriller,178,A quiet little town not far from here.,10000000,16690617,Zentropa Entertainments;Memfis Film;Trollhättan Film;Pain Unlimited GmbH Filmproduktion;Sigma Films;Zoma Films;Slot Machine;Liberator Productions;Film i Väst;ARTE France Cinéma;France 3 Cinéma;WDR/Arte;DR;SVT;NPS;YLE;Norsk TV2 AS,Denmark;Finland;France;Germany;Netherlands;Norway;Sweden;United Kingdom,English,tt0276919
The Texas Chainsaw Massacre,2003-05-21,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",6.3,2566,en,Horror,98,What you know about fear...doesn't even come close.,9500000,107967319,Next Entertainment;Platinum Dunes;Radar Pictures;New Line Cinema;Focus Features,United States of America,English,tt0324216
Bruce Almighty,2003-05-23,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God - and the Almighty responds, endowing Bruce with all of His divine powers.",6.713,10490,en,Fantasy;Comedy,101,"If you could be God for one week, what would you do?",80000000,484600000,Pit Bull Productions;Spyglass Entertainment;Universal Pictures;Shady Acres Entertainment,United States of America,English,tt0315327
My House in Umbria,2003-05-25,"Emily Delahunty is an eccentric British romance novelist who lives in Umbria in central Italy. One day while travelling, the train she is on is bombed by terrorists. After she wakes up in a hospital, she invites three of the other survivors of the disaster to stay at her Italian villa for recuperation. Of these are The General, a retired British Army veteran, Werner, a young German man, and Aimee, a young American girl who has now become mute after her parents were both killed in the explosion.",6.016,31,en,Drama;Mystery;TV Movie,103,,0,0,HBO Films;Panorama Films,United Kingdom;United States of America;Italy,English;Italiano;Latin;Deutsch,tt0323332
Finding Nemo,2003-05-30,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",7.8,18943,en,Animation;Family,100,There are 3.7 trillion fish in the ocean. They're looking for one.,94000000,940335536,Pixar,United States of America,English,tt0266543
Wrong Turn,2003-05-30,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",6.4,2615,en,Horror;Thriller,84,It's the last one you'll ever take.,12600000,28650575,DCP Wrong Turn Productions;Summit Entertainment;Regency Enterprises;Media Cooperation One;Constantin Film;20th Century Fox;Don Carmody Productions,Canada;Germany;United States of America,English,tt0295700
The Italian Job,2003-05-30,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",6.772,5398,en,Action;Crime,110,Get in. Get out. Get even.,60000000,176070171,De Line Pictures;Working Title Films;Paramount Pictures;Peninsula Films;Senator International,France;United Kingdom;United States of America,Український;English;Italiano,tt0317740
2 Fast 2 Furious,2003-06-05,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",6.5,7283,en,Action;Crime;Thriller,108,How fast do you like it?,76000000,236350661,Ardustry Entertainment;Mikona Productions;Original Film;Universal Pictures,Germany;United States of America,English;Español,tt0322259
Hollywood Homicide,2003-06-09,"Joe Gavilan and his new partner K. C. Calden, are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts.",5.233,606,en,Action;Adventure;Comedy;Thriller,116,They're two cops with one shot at solving a murder... and surviving each other.,75000000,51142659,Revolution Studios;Columbia Pictures,United States of America,English,tt0329717
A Tale of Two Sisters,2003-06-13,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house – all of which are connected to a dark past in the family's history.",7.1,1140,ko,Drama;Horror;Mystery,115,Our sorrow was conceived long before our birth.,15100000,1100000,Bom Film Productions;Masulpiri Films;Chungeorahm Film;Barunson E&A,South Korea,한국어/조선말,tt0365376
High Tension,2003-06-18,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",6.731,1265,fr,Horror;Thriller;Mystery,91,Hearts will bleed.,2500000,6291958,Alexandre Films;EuropaCorp;MediaPro Pictures,France;Romania,Italiano;English;Français,tt0338095
Hulk,2003-06-19,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",5.547,5650,en,Science Fiction;Adventure;Action,138,What if everything you were forced to keep inside was suddenly set free?,137000000,245360480,Marvel Enterprises;Universal Pictures;Good Machine;Valhalla Motion Pictures,United States of America,English;Español,tt0286716
Charlie's Angels: Full Throttle,2003-06-25,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",5.465,2956,en,Action;Adventure;Comedy,106,This summer the Angels are back.,120000000,259200000,Wonderland Sound and Vision;Tall Trees Productions;Flower Films;Columbia Pictures,United States of America;Brazil,English;普通话;Español,tt0305357
The Room,2003-06-27,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world being torn apart when his friends begin to betray him one-by-one.",4.048,1365,en,Drama;Romance,99,Can you ever really trust anyone?,6000000,1752988,Chloe Productions;TPW Films;Wiseau-Films,United States of America,English,tt0368226
Terminator 3: Rise of the Machines,2003-07-02,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",6.164,6475,en,Action;Thriller;Science Fiction,109,The Machines Will Rise.,200000000,435000000,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG;C2 Pictures;Mostow/Lieberman Productions;Intermedia;Senator International;Valhalla Motion Pictures,Germany;United Kingdom;United States of America,English,tt0181852
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",7.8,20236,en,Adventure;Fantasy;Action,143,Prepare to be blown out of the water.,140000000,655011224,Walt Disney Pictures;Jerry Bruckheimer Films,United States of America,English,tt0325980
The League of Extraordinary Gentlemen,2003-07-11,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",5.966,3930,en,Fantasy;Action;Thriller;Science Fiction,110,The power of seven become a league of one.,78000000,179265204,JD Productions;International Production Company;Angry Films;Mediastream Dritte Film GmbH & Co. Beteiligungs KG;20th Century Fox;The Mark Gordon Company,Czech Republic;Germany;Hungary;United Kingdom;United States of America,English;Deutsch;Italiano,tt0311429
Bad Boys II,2003-07-18,"Detectives Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force are tasked with stopping the flow of the drug ecstasy into Miami. They track the drugs to the whacked-out Cuban drug lord Johnny Tapia, who is also involved in a bloody war with Russian and Haitian mobsters. If that isn't bad enough, there's tension between the two detectives when Marcus discovers that playboy Mike is secretly romancing Marcus’ sister, Syd.",6.633,5301,en,Action;Crime;Comedy,146,"If you can't stand the heat, get out of Miami.",130000000,273339556,Columbia Pictures;Don Simpson/Jerry Bruckheimer Films,United States of America,English;Español,tt0172156
Lara Croft: Tomb Raider - The Cradle of Life,2003-07-21,"Tasked by MI6 to find the mythological Pandora's Box, an ancient object supposedly containing one of the deadliest plagues on Earth, Lara Croft must beat evil Nobel Prize-winning scientist turned bioterrorist Jonathan Reiss to it.",5.746,4117,en,Action;Adventure;Fantasy;Thriller,117,The lady returns.,95000000,160100000,Paramount Pictures;Mutual Film Company;Lawrence Gordon Productions;Eidos Films;October Pictures;BBC Film;Tele München;TOHO,Germany;Hong Kong;Japan;United Kingdom;United States of America,English;普通话,tt0325703
Spy Kids 3-D: Game Over,2003-07-25,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",5.1,2157,en,Action;Adventure;Comedy;Family;Science Fiction,84,3rd Mission. 3rd Dimension.,38000000,197000000,Dimension Films;Troublemaker Studios,United States of America,English,tt0338459
American Wedding,2003-08-01,"With high school a distant memory, Jim and Michelle are getting married — and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle — prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",6.219,3994,en,Comedy;Romance,103,Forever hold your piece.,55000000,231449203,Loumolo & Co.;Universal Pictures;LivePlanet;Zide-Perry Productions,United States of America,English,tt0328828
Freaky Friday,2003-08-05,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",6.503,3694,en,Comedy;Family;Fantasy,97,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.,26000000,160846332,Casual Friday Productions;Andrew Gunn Films;Walt Disney Pictures,United States of America,普通话;English,tt0322330
S.W.A.T.,2003-08-08,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",6.157,2436,en,Action;Thriller;Crime,117,You're either S.W.A.T. or you're not.,80000000,207700000,Original Film;Camelot Pictures;Chris Lee Productions;Illusion Entertainment;Columbia Pictures,United States of America,English;Español;Français,tt0257076
Jeepers Creepers 2,2003-08-08,"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive.",6.132,1584,en,Horror;Thriller,104,He can taste your fear.,17000000,63102666,Jeepers Creepers II;United Artists;American Zoetrope;Myriad Pictures,United States of America,English,tt0301470
A Good Lawyer's Wife,2003-08-14,"A woman, married and with a child but becoming increasingly distant from her husband who is already cheating on her, reluctantly enters a secret relationship with her neighbor, a teenage boy.",6,57,ko,Drama;Crime,106,"A good wife, a cheating husband, a very sexy family drama...",0,0,Myung Films;Chungeorahm Film,South Korea,한국어/조선말,tt0372782
Freddy vs. Jason,2003-08-15,"Freddy enlists Jason to kill on his behalf on Elm Street, after realizing that he can't haunt dreams because people no longer fear him.",6.052,2484,en,Horror,97,Even a killer has something to fear.,30000000,116643421,Yannix Technology Corporation;New Line Cinema;Avery Pix;Crystal Lake Entertainment;WTC Productions;Sean S. Cunningham Films,United States of America,English,tt0329101
Uptown Girls,2003-08-15,"Molly Gunn, the freewheeling daughter of a deceased rock legend, is forced to get a job when her manager steals her money. As nanny for precocious Ray, the oft ignored daughter of a music executive she learns what it means to be an adult while teaching Ray how to be a child.",6.8,827,en,Comedy;Drama,92,They're about to teach each other how to act their age.,20000000,44600000,GreeneStreet Films,United States of America,English,tt0263757
Thirteen,2003-08-20,"Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",6.62,1582,en,Drama,100,It's happening so fast.,2000000,10100000,Michael London Productions;Working Title Films;Antidote Films;Sound for Film,United Kingdom;United States of America,English;Español,tt0328538
Open Range,2003-08-29,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,7.2,1028,en,Western;Action;Romance;Drama,139,No place to run. No reason to hide.,22000000,68296293,Cobalt Media Group;Touchstone Pictures;Beacon Pictures;Tig Productions,United States of America,English,tt0316356
The Dreamers,2003-09-01,"When Isabelle and Theo invite Matthew to stay with them, what begins as a casual friendship ripens into a sensual voyage of discovery and desire in which nothing is off limits and everything is possible.",7.21,2794,en,Drama;Romance,115,Together nothing is impossible. Together nothing is forbidden.,15000000,15100000,Fiction Films;Recorded Picture Company;Peninsula Films;HanWay Films;MEDIA Programme of the European Union;TELE+;Peninsular Films,France;Italy;United Kingdom,Français;English,tt0309987
Intolerable Cruelty,2003-09-02,A revenge-seeking gold digger marries a womanizing Beverly Hills lawyer with the intention of making a killing in the divorce.,5.935,1449,en,Comedy;Romance,100,They can't keep their hands off each others assets.,60000000,119940815,Universal Pictures;Imagine Entertainment;Alphaville Films;Mike Zoss Productions,United States of America,Français;English,tt0138524
Fighting Spirit - Mashiba vs. Kimura,2003-09-05,"Kimura finally has his championship match. It takes place at the annual champion carnival. But now he must face the intense champion, Mashiba for the Junior Lightweight championship.",6.679,42,ja,Animation;Comedy;Drama;Action,60,Fighting Spirit - Mashiba vs. Kimura,0,0,Madhouse;Discotek Media,Japan,日本語,tt3354378
Love Actually,2003-09-07,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,7.114,6521,en,Comedy;Romance;Drama,135,The ultimate romantic comedy.,40000000,249600000,Working Title Films;DNA Films;Universal Pictures;StudioCanal,France;United Kingdom;United States of America,English;Français;Português,tt0314331
Cheeky,2003-09-08,"Consumed with sadness after the death of his wife and subsequent rejection from his son, a widower, at the urging of his friends, opts to appear on a vulgar, wildly popular game show (for which his wife signed him up) and watches his life start to change for the better.",6.4,8,en,Comedy;Drama,94,,0,0,Xingu Films;EuropaCorp,United Kingdom,English,tt0321640
Lost in Translation,2003-09-18,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",7.395,7162,en,Drama;Romance,102,Everyone wants to be found.,4000000,119723856,American Zoetrope;Elemental Films,United Kingdom;United States of America,日本語;English,tt0335266
Underworld,2003-09-19,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",6.823,5997,en,Fantasy;Action;Thriller,122,An immortal battle for supremacy.,22000000,95708457,Screen Gems;Lakeshore Entertainment;Laurinfilm;Subterranean Productions LLC;Subterranean Productions UK Ltd.;Underworld Produktions GmbH,Germany;Hungary;United Kingdom;United States of America,English,tt0320691
Secondhand Lions,2003-09-19,"The comedic adventures of an introverted boy left on the doorstep of a pair of reluctant, eccentric great-uncles, whose exotic remembrances stir the boy's spirit and re-ignite the men's lives.",7.16,740,en,Family;Comedy,111,,0,0,New Line Cinema,United States of America,English,tt0327137
Under the Tuscan Sun,2003-09-20,"After a rough divorce, Frances, a 35-year-old professor and writer from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",6.879,842,en,Romance;Comedy,113,Life offers you a thousand chances ... all you have to do is take one.,18000000,58878723,Touchstone Pictures;Timnick Films;Blue Gardenia Productions,Italy;United States of America,Deutsch;Español;Français;English;Italiano;Polski,tt0328589
Elephant,2003-09-20,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,7.06,1849,en,Crime;Drama,81,An ordinary high school day. Except that it's not.,3000000,10000000,HBO Films;Blue Relief Productions;Meno Film Company,United States of America,English,tt0363589
School of Rock,2003-10-03,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",7.083,5493,en,Comedy;Music,110,He just landed the gig of his life: 5th grade.,35000000,131100000,Paramount Pictures;Scott Rudin Productions,United States of America,English,tt0332379
Mystic River,2003-10-07,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,7.74,6477,en,Thriller;Crime;Drama;Mystery,138,"We bury our sins, we wash them clean.",25000000,156800000,Warner Bros. Pictures;Village Roadshow Pictures;NPV Entertainment;Malpaso Productions,United States of America,English,tt0327056
Elf,2003-10-09,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",6.648,3926,en,Comedy;Family;Fantasy,97,"This holiday, discover your inner elf.",32000000,228500000,New Line Cinema;Guy Walks into a Bar Productions,United States of America,English,tt0319343
Kill Bill: Vol. 1,2003-10-10,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",8,17074,en,Action;Crime,111,A roaring rampage of revenge.,30000000,180906076,Miramax;A Band Apart;Super Cool ManChu,United States of America,English;日本語;Français,tt0266697
Scary Movie 3,2003-10-24,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",5.974,3968,en,Comedy,84,Great trilogies come in threes.,48000000,220673217,Brad Grey Pictures;Dimension Films,United States of America,English,tt0306047
