Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Kevin & Perry Go Large,2000-04-20,"When stubborn, spotty Kevin and his equally hopeless best friend Perry go on holiday to the party island Ibiza, they see it as their big chance to become superstar club DJs and, more importantly, to lose their virginities. But they aren't prepared for the interference of top DJ Eyeball Paul, not to mention the embarrassment factor of Kevin's long-suffering parents.",4.99,147,en,Music;Comedy,82,All they want to do is... Do it!!!,0,0,Fragile Films;Tiger Aspect;Icon Productions,United Kingdom,English;Español,tt0205177
Where the Heart Is,2000-04-27,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside, and takes refuge in the friendly aisles of Wal-Mart. Eventually, some eccentric but kindly strangers 'adopt' Novalee and her infant daughter, helping them buck the odds and build a new life.",7.125,669,en,Comedy;Drama;Romance,120,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,15000000,33800000,Wind Dancer Films;20th Century Fox,United States of America,English,tt0198021
Frequency,2000-04-28,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",7.24,1731,en,Science Fiction;Thriller,118,The future is listening.,31000000,68106245,New Line Cinema,United States of America,English,tt0186151
The Flintstones in Viva Rock Vegas,2000-04-28,"The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?",4.8,733,en,Comedy;Family;Romance,90,Get ready to rock!,83000000,59468275,Amblin Entertainment;Universal Pictures;Hanna-Barbera Productions,United States of America,English,tt0158622
Gladiator,2000-05-04,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",8.2,18093,en,Action;Drama;Adventure,155,What we do in life echoes in eternity.,103000000,465361176,Universal Pictures;Scott Free Productions;Red Wagon Entertainment;Mill Film;DreamWorks Pictures,United Kingdom;United States of America,English,tt0172495
Battlefield Earth,2000-05-12,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind.",3.291,826,en,Science Fiction;Action;Adventure,117,Take back the planet.,44000000,29725663,Franchise Pictures;Jonathan D. Krane Productions;JTP Films;Warner Bros. Pictures;Morgan Creek Entertainment;Don Carmody Productions,Canada;United States of America,Français;English,tt0185183
Road Trip,2000-05-19,"After an Ithaca College student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade sex tape to his girlfriend in Austin. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.",6.181,1889,en,Comedy;Adventure,93,The greatest college tradition of all.,16000000,119800000,DreamWorks Pictures;The Montecito Picture Company;Ivan Reitman Productions,United States of America,English,tt0215129
Dinosaur,2000-05-19,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,6.534,2441,en,Animation;Family;Adventure,82,Discover a world you've only imagined.,127500000,354248063,Walt Disney Pictures;Walt Disney Feature Animation;The Secret Lab,United States of America,English,tt0130623
Mission: Impossible II,2000-05-24,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",6.127,6567,en,Adventure;Action;Thriller,123,Expect the impossible again.,125000000,546388108,Paramount Pictures;Cruise/Wagner Productions,United States of America,English,tt0120755
Shanghai Noon,2000-05-26,"Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.",6.42,2455,en,Adventure;Action;Comedy;Western,110,The old west meets the far east.,55000000,99300000,Roger Birnbaum Productions;Spyglass Entertainment;Touchstone Pictures,Hong Kong;United States of America,English;普通话;Español,tt0184894
Big Momma's House,2000-05-31,"When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito.",5.82,2252,en,Crime;Comedy,98,This FBI agent is going undercover... and he's concealing more than a weapon.,30000000,174000000,Regency Enterprises;20th Century Fox,Germany;United States of America,English,tt0208003
Amores Perros,2000-06-16,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",7.634,2532,es,Drama;Thriller,154,Love. Betrayal. Death.,2000000,20908467,Altavista Films;Zeta Film,Mexico,Español,tt0245712
"Me, Myself & Irene",2000-06-22,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",6.6,3753,en,Comedy,116,From gentle to mental.,51000000,149270999,Conundrum Entertainment;20th Century Fox,United States of America,English;Deutsch,tt0183505
